fungicide ,inoculum,treatment,estimate_growth
boscalid_50_ppm,15,Fungicide,3.8
boscalid_50_ppm,15,Fungicide,3.8
boscalid_50_ppm,1,control,6.55
boscalid_50_ppm,1,control,6.9
boscalid_50_ppm,2,control,7
boscalid_50_ppm,2,control,6.4
boscalid_50_ppm,6,control,7.75
boscalid_50_ppm,6,control,7.1
boscalid_50_ppm,7,control,6
boscalid_50_ppm,7,control,6.85
boscalid_50_ppm,8,control,6.2
boscalid_50_ppm,8,control,1.15
boscalid_50_ppm,15,control,6.6
boscalid_50_ppm,15,control,5.6
boscalid_75ppm,1,Fungicide,4.05
boscalid_75ppm,1,Fungicide,4.05
boscalid_75ppm,2,Fungicide,4.6
boscalid_75ppm,2,Fungicide,4.6
boscalid_75ppm,6,Fungicide,4.75
boscalid_75ppm,6,Fungicide,4.7
boscalid_75ppm,7,Fungicide,4
boscalid_75ppm,7,Fungicide,3.95
boscalid_75ppm,8,Fungicide,4
boscalid_75ppm,8,Fungicide,4
boscalid_75ppm,15,Fungicide,3.9
boscalid_75ppm,15,Fungicide,3.9
boscalid_75ppm,1,control,6.55
boscalid_75ppm,1,control,6.9
boscalid_75ppm,2,control,7
boscalid_75ppm,2,control,6.4
boscalid_75ppm,6,control,7.75
boscalid_75ppm,6,control,7.1
boscalid_75ppm,7,control,6
boscalid_75ppm,7,control,6.85
boscalid_75ppm,8,control,6.2
boscalid_75ppm,8,control,1.15
boscalid_75ppm,15,control,6.6
boscalid_75ppm,15,control,5.6
boscalid_100ppm,1,Fungicide,4
boscalid_100ppm,1,Fungicide,3.75
boscalid_100ppm,2,Fungicide,4.95
boscalid_100ppm,2,Fungicide,4.85
boscalid_100ppm,6,Fungicide,4.95
boscalid_100ppm,6,Fungicide,4.8
boscalid_100ppm,7,Fungicide,4.35
boscalid_100ppm,7,Fungicide,4.5
boscalid_100ppm,8,Fungicide,4
boscalid_100ppm,8,Fungicide,4.2
boscalid_100ppm,15,Fungicide,4.3
boscalid_100ppm,15,Fungicide,4.3
boscalid_100ppm,1,control,6.55
boscalid_100ppm,1,control,6.9
boscalid_100ppm,2,control,7
boscalid_100ppm,2,control,6.4
boscalid_100ppm,6,control,7.75
boscalid_100ppm,6,control,7.1
boscalid_100ppm,7,control,6
boscalid_100ppm,7,control,6.85
boscalid_100ppm,8,control,6.2
boscalid_100ppm,8,control,1.15
boscalid_100ppm,15,control,6.6
boscalid_100ppm,15,control,5.6
boscalid_125ppm,1,Fungicide,3.8
boscalid_125ppm,1,Fungicide,4
boscalid_125ppm,2,Fungicide,4.85
boscalid_125ppm,2,Fungicide,5.2
boscalid_125ppm,6,Fungicide,5
boscalid_125ppm,6,Fungicide,5.2
boscalid_125ppm,7,Fungicide,4.35
boscalid_125ppm,7,Fungicide,4.4
boscalid_125ppm,8,Fungicide,3.85
boscalid_125ppm,8,Fungicide,4.05
boscalid_125ppm,15,Fungicide,4.5
boscalid_125ppm,15,Fungicide,4.5
boscalid_125ppm,1,control,6.55
boscalid_125ppm,1,control,6.9
boscalid_125ppm,2,control,7
boscalid_125ppm,2,control,6.4
boscalid_125ppm,6,control,7.75
boscalid_125ppm,6,control,7.1
boscalid_125ppm,7,control,6
boscalid_125ppm,7,control,6.85
boscalid_125ppm,8,control,6.2
boscalid_125ppm,8,control,1.15
boscalid_125ppm,15,control,6.6
boscalid_125ppm,15,control,5.6
boscalid_150ppm,1,Fungicide,3.9
boscalid_150ppm,1,Fungicide,4
boscalid_150ppm,2,Fungicide,5
boscalid_150ppm,2,Fungicide,4.85
boscalid_150ppm,6,Fungicide,5.15
boscalid_150ppm,6,Fungicide,5
boscalid_150ppm,7,Fungicide,4.55
boscalid_150ppm,7,Fungicide,4.4
boscalid_150ppm,8,Fungicide,4.39
boscalid_150ppm,8,Fungicide,4
boscalid_150ppm,15,Fungicide,4.5
boscalid_150ppm,15,Fungicide,4.5
boscalid_150ppm,1,control,6.55
boscalid_150ppm,1,control,6.9
boscalid_150ppm,2,control,7
boscalid_150ppm,2,control,6.4
boscalid_150ppm,6,control,7.75
boscalid_150ppm,6,control,7.1
boscalid_150ppm,7,control,6
boscalid_150ppm,7,control,6.85
boscalid_150ppm,8,control,6.2
boscalid_150ppm,8,control,1.15
boscalid_150ppm,15,control,6.6
boscalid_150ppm,15,control,5.6
boscalid_175ppm,1,Fungicide,3.65
boscalid_175ppm,1,Fungicide,3.85
boscalid_175ppm,2,Fungicide,4.9
boscalid_175ppm,2,Fungicide,5
boscalid_175ppm,6,Fungicide,5.4
boscalid_175ppm,6,Fungicide,5.35
boscalid_175ppm,7,Fungicide,3.3
boscalid_175ppm,7,Fungicide,4.1
