Fungicide,inoculum,experiment,treatment,experimental_repetition,growth
boscalid,771,plug,fungicide,one,2.41
boscalid,771,plug,fungicide,one,2.39
boscalid,771,plug,fungicide,two,3.545
boscalid,771,plug,fungicide,two,3.44
boscalid,771,plug,fungicide,two,3.51
boscalid,771,plug,fungicide,two,3.165
boscalid,771,plug,control,one,6.75
boscalid,771,plug,control,one,6.71
boscalid,771,plug,control,one,6.69
boscalid,771,plug,control,one,6.77
boscalid,771,plug,control,two,5.89
boscalid,771,plug,control,two,6.79
boscalid,771,plug,control,two,5.635
boscalid,771,plug,control,two,6.815
boscalid,771,paper,fungicide,one,2.95
boscalid,771,paper,fungicide,one,2.9
boscalid,771,paper,fungicide,one,2.85
boscalid,771,paper,fungicide,one,2.9
boscalid,771,paper,fungicide,two,3.09
boscalid,771,paper,fungicide,two,3.17
boscalid,771,paper,fungicide,two,2.945
boscalid,771,paper,fungicide,two,3.365
boscalid,771,paper,control,one,5.25
boscalid,771,paper,control,one,4.7
boscalid,771,paper,control,one,4.65
boscalid,771,paper,control,one,4.45
boscalid,771,paper,control,two,5.385
boscalid,771,paper,control,two,5.375
boscalid,771,paper,control,two,5.33
boscalid,771,paper,control,two,5.57
boscalid,801,plug,fungicide,one,2.98
boscalid,801,plug,fungicide,one,2.05
boscalid,801,plug,fungicide,one,2.175
boscalid,801,plug,fungicide,one,2.1
boscalid,801,plug,fungicide,two,3.25
boscalid,801,plug,fungicide,two,3.06
boscalid,801,plug,fungicide,two,3.33
boscalid,801,plug,fungicide,two,3.17
boscalid,801,plug,control,one,6.375
boscalid,801,plug,control,one,6.51
boscalid,801,plug,control,one,6.265
boscalid,801,plug,control,one,6.295
boscalid,801,plug,control,two,5.475
boscalid,801,plug,control,two,6.24
boscalid,801,plug,control,two,5.37
boscalid,801,plug,control,two,6.555
boscalid,801,paper,fungicide,one,2.25
boscalid,801,paper,fungicide,one,2.375
boscalid,801,paper,fungicide,one,2.285
boscalid,801,paper,fungicide,one,2.385
boscalid,801,paper,fungicide,two,2.635
boscalid,801,paper,fungicide,two,2.57
boscalid,801,paper,fungicide,two,2.445
boscalid,801,paper,fungicide,two,2.555
boscalid,801,paper,control,one,3.475
boscalid,801,paper,control,one,4.41
boscalid,801,paper,control,one,3.295
boscalid,801,paper,control,one,3.785
boscalid,801,paper,control,two,5.475
boscalid,801,paper,control,two,5.42
boscalid,801,paper,control,two,5.58
boscalid,801,paper,control,two,5.545
boscalid,851,plug,fungicide,one,1.71
boscalid,851,plug,fungicide,one,1.65
boscalid,851,plug,fungicide,one,1.73
boscalid,851,plug,fungicide,one,1.63
boscalid,851,plug,fungicide,two,2.535
boscalid,851,plug,fungicide,two,2.47
boscalid,851,plug,fungicide,two,2.51
boscalid,851,plug,fungicide,two,2.52
boscalid,851,plug,control,one,6.36
boscalid,851,plug,control,one,6.615
boscalid,851,plug,control,one,6.445
boscalid,851,plug,control,one,6.635
boscalid,851,plug,control,two,5.39
boscalid,851,plug,control,two,6.28
boscalid,851,plug,control,two,5.55
boscalid,851,plug,control,two,6.64
boscalid,851,paper,fungicide,one,1.675
boscalid,851,paper,fungicide,one,1.615
boscalid,851,paper,fungicide,one,1.685
boscalid,851,paper,fungicide,one,1.695
boscalid,851,paper,fungicide,two,1.535
boscalid,851,paper,fungicide,two,1.5
boscalid,851,paper,fungicide,two,1.55
boscalid,851,paper,fungicide,two,1.42
boscalid,851,paper,control,one,4.455
boscalid,851,paper,control,one,4.51
boscalid,851,paper,control,one,4.95
boscalid,851,paper,control,one,4.81
boscalid,851,paper,control,two,3.81
boscalid,851,paper,control,two,3.205
boscalid,851,paper,control,two,3.785
boscalid,851,paper,control,two,3.965
boscalid,859,plug,fungicide,one,1.79
boscalid,859,plug,fungicide,one,1.775
boscalid,859,plug,fungicide,one,1.825
boscalid,859,plug,fungicide,one,1.84
boscalid,859,plug,fungicide,two,2.45
boscalid,859,plug,fungicide,two,2.315
boscalid,859,plug,fungicide,two,2.38
boscalid,859,plug,fungicide,two,2.32
boscalid,859,plug,control,one,6.795
boscalid,859,plug,control,one,6.745
boscalid,859,plug,control,one,6.9
boscalid,859,plug,control,one,6.46
boscalid,859,plug,control,two,4.68
boscalid,859,plug,control,two,6.43
boscalid,859,plug,control,two,5.095
boscalid,859,plug,control,two,6.28
boscalid,859,paper,fungicide,one,1.915
boscalid,859,paper,fungicide,one,1.91
boscalid,859,paper,fungicide,one,1.88
boscalid,859,paper,fungicide,one,1.88
boscalid,859,paper,fungicide,two,1.95
boscalid,859,paper,fungicide,two,1.88
boscalid,859,paper,fungicide,two,1.815
boscalid,859,paper,fungicide,two,1.76
